Brood_year,stream,n_collected,n_m,n_f,p_3,p_4,p_5,n_3,n_4,n_5
1989,Chiwawa,28,11,17,,,,,,
1990,Chiwawa,19,7,12,,,,,,
1991,Chiwawa,32,13,19,0,0.22,0.78,0,7,25
1992,Chiwawa,113,39,39,0,0.286,0.714,0,32,81
1993,Chiwawa,100,50,50,0,0.22,0.78,0,22,78
1994,Chiwawa,9,5,4,0,0.286,0.714,0,3,6
1995,Chiwawa,0,0,0,0,0,0,0,0,0
1996,Chiwawa,8,6,2,0.286,0.714,0,2,6,0
1997,Chiwawa,37,14,23,0,0.875,0.125,0,32,5
1998,Chiwawa,13,9,4,0,0.636,0.364,0,8,5
1999,Chiwawa,0,0,0,0,0,0,0,0,0
2000,Chiwawa,10,5,5,0.2,0.7,0.1,2,7,1
2001,Chiwawa,115,45,70,0.028,0.944,0.028,3,109,3
2002,Chiwawa,21,9,12,0,0.667,0.333,0,14,7
2003,Chiwawa,44,28,16,0.27,0.027,0.703,12,1,31
2004,Chiwawa,100,58,42,0.061,0.898,0.041,6,90,4
2005,Chiwawa,98,58,40,0.01,0.85,0.14,1,83,14
2006,Chiwawa,95,49,46,0.02,0.704,0.276,2,67,26
2007,Chiwawa,45,20,25,0.156,0.533,0.311,7,24,14
2008,Chiwawa,88,41,47,0.063,0.787,0.15,6,69,13
2009,Chiwawa,113,53,60,0.086,0.79,0.124,10,89,14
2010,Chiwawa,83,41,42,0.053,0.947,0,4,79,0
2011,Chiwawa,80,38,42,0.027,0.527,0.446,2,42,36
2012,Chiwawa,68,35,40,0,0.79,0.21,0,54,14
2013,Chiwawa,159,83,87,0,0.657,0.343,0,104,55
2014,Chiwawa,58,29,32,0,0.912,0.088,0,53,5
2015,Chiwawa,70,44,36,0,0.89,0.11,0,62,8
2016,Chiwawa,57,29,33,0,0.826,0.174,0,47,10
2017,Chiwawa,50,24,26,0.043,0.872,0.085,2,44,4
2018,Chiwawa,36,22,15,0,0.833,0.167,0,30,6
2019,Chiwawa,31,13,16,0,0.857,0.143,0,27,4
2013,Nason,21,12,10,0.143,0.857,0,3,18,0
2014,Nason,27,18,12,0.182,0.682,0.136,5,18,4
2015,Nason,78,40,38,0,0.92,0.08,0,72,6
2016,Nason,82,40,42,0,0.696,0.304,0,57,25
2017,Nason,72,35,37,0,0.845,0.155,0,61,11
2018,Nason,72,35,37,0.014,0.889,0.097,1,64,7
2019,Nason,48,24,24,0,0.915,0.085,0,44,4
